"ToiletID","URL","Name","Address1","Town","State","Postcode","AddressNote","Male","Female","Unisex","FacilityType","ToiletType","AccessLimited","PaymentRequired","KeyRequired","AccessNote","Parking","ParkingNote","AccessibleMale","AccessibleFemale","AccessibleUnisex","AccessibleNote","MLAK","ParkingAccessible","AccessibleParkingNote","IsOpen","OpeningHoursSchedule","OpeningHoursNote","BabyChange","Showers","DrinkingWater","SharpsDisposal","SanitaryDisposal","IconURL","IconAltText","Notes","Status","Latitude","Longitude"
"48","https://toiletmap.gov.au/toilet/48","Cowley Beach","Barakaoan Road","Lower Cowley","Queensland","4871","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.69528256","146.11173390"
"49","https://toiletmap.gov.au/toilet/49","Digger Creek","Bruce Highway","El Arish","Queensland","4855","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.79452671","146.01235070"
"50","https://toiletmap.gov.au/toilet/50","Returned Services League Club","Royston Street","El Arish","Queensland","4855","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.80691645","146.00447980"
"51","https://toiletmap.gov.au/toilet/51","Village Green","Central Avenue","Mission Beach","Queensland","4852","","True","True","False","","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.86919840","146.10673700"
"52","https://toiletmap.gov.au/toilet/52","Stinger Net","Seaview Street","Mission Beach","Queensland","4852","","True","True","False","","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.87117800","146.10661880"
"53","https://toiletmap.gov.au/toilet/53","Van Park","El Arish - Mission Beach Road","Mission Beach","Queensland","4852","","True","True","False","Park or reserve","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.86488465","146.10892330"
"54","https://toiletmap.gov.au/toilet/54","Clump Point 2","El Arish - Mission Beach Road","Mission Beach","Queensland","4852","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.85167753","146.10599820"
"56","https://toiletmap.gov.au/toilet/56","Cutten Street","Cutten Street","Bingil Bay","Queensland","4852","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.83093616","146.09949800"
"57","https://toiletmap.gov.au/toilet/57","Camp Area","Bingil Bay Road","Bingil Bay","Queensland","4852","","True","True","False","Camping ground","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.82990204","146.09979340"
"58","https://toiletmap.gov.au/toilet/58","Marc Park","Tully - Mission Beach Road","Mission Beach","Queensland","4852","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.87259629","146.09225950"
"60","https://toiletmap.gov.au/toilet/60","Mourilyan Harbour","","Mourilyan Harbour","Queensland","4858","","True","True","False","","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.59892284","146.12556840"
"61","https://toiletmap.gov.au/toilet/61","Innisfail Cemetery","Clare Street","Innisfail","Queensland","4860","","True","True","False","","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.52896276","146.02850040"
